 Divisórias,"('AVENIDA VILARINHO', '3101200', '4744002')"
 Siluet Centro de Estetica,"('RUA MACAUBAS', '9602501', '9602502')"
 Pet Shop Jaraguá,"('RUA IZABEL BUENO', '4713001', '')"
 BOCCA Hamburgueria Gourmet,"('RUA GUSTAVO DA SILVEIRA', '5611202', '')"
 Áurea S A Miranda,"('RUA ILDEFONSO ALVIM', '9602501', '')"
 Sirva-se,"('RUA VICENTE RISOLA', '5611201', '5611202')"
 Arquibancada,"('AVENIDA CRISTIANO MACHADO', '4782201', '4781400')"
 Satuello,"('RUA JOSE GERARDO BESSA', '4781400', '')"
 Supermercado Real,"('RUA ILHA DE MALTA', '4712100', '')"
 Cimento & Companhia,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Padaria Modelo,"('RUA FURQUIM WERNECK', '4771701', '4712100')"
 Trilha do Saber,"('RUA SAO MATEUS', '8512100', '8513900')"
 Impulse Modas,"('RUA MATUTINA', '4781400', '4782202')"
 Elmo,"('AVENIDA ABILIO MACHADO', '4781400', '4782201')"
 Centro Educacional Arca de Noé,"('RUA PADRE GUILHERME', '8512100', '8592901')"
 Habib´s,"('AVENIDA CRISTIANO MACHADO', '5611202', '5611201')"
 Centro Veterinário Dr Leonardo Alves Pereira Ltda,"('RUA JACUI', '7500100', '9609208')"
 kdfestas,"('AVENIDA ALTAMIRO AVELINO SOARES', '4712100', '4722901')"
 Império das Suspensões,"('RUA FLOR DA PAIXAO', '4520001', '')"
 Pró Saber Centro Recreativo,"('RUA OLIVER', '8512100', '8513900')"
 Ponto Nobre Estofados,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Comercial Canto da Moda Confecções Ltda,"('RUA DOS CACTOS', '4781400', '')"
 Poliarte,"('RUA JUACEMA', '4520005', '')"
 Líder Odonto,"('AVENIDA ABILIO MACHADO', '8630504', '')"
 Isabela S Lima,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Igreja Batista Novo Alvorecer,"('RUA MANOEL PASSOS', '9491000', '')"
 CEMER,"('AVENIDA VISCONDE DE IBITURUNA', '4753900', '4713001')"
 Taco Show,"('AVENIDA CRISTIANO MACHADO', '5611202', '5611201')"
 Imobiliária anglo,"('RUA VICENTE RISOLA', '6821801', '')"
 Instituto Pedagógico do Re Mi,"('RUA CABROBO', '8512100', '8591100')"
 Marina,"('AVENIDA VISCONDE DE IBITURUNA', '4781400', '4783102')"
 Saborear,"('RUA JOSE FELIX MARTINS', '5611201', '5611203')"
 Salão J e J Cabeleireiros Unissex,"('RUA CLOVIS DE CASTRO', '9602501', '4755502')"
 Toninho Borracheiro,"('RUA POLONIA', '4520001', '')"
 Igreja Unida,"('RUA MANGARATIBA', '9491000', '')"
 Condomínio do Edifício Leda Lanza Mello,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 Ellus,"('AVENIDA CRISTIANO MACHADO', '4782201', '4781400')"
 Vitória,"('RUA SERAFIM PEREIRA DA SILVA', '4721102', '4712100')"
 Minas Sul Negócios Imobiliários Ltda,"('RUA JOSE CLEMENTE PEREIRA', '6821802', '6821801')"
 Yolo,"('RUA SAO MIGUEL', '4781400', '4755502')"
 Alpha Fit,"('RUA ROSINHA SIGAUD', '9313100', '')"
 Coisas Mil,"('RUA CARLOS GOES', '4781400', '4755502')"
 Holambelo Flores e Plantas,"('RUA MARIANA', '4623106', '6462000')"
 Só Natural,"('RUA MONTEIRO LOBATO', '4711302', '4713001')"
 Igreja Evangélica Embaixadores de Cristo,"('RUA VALERIO', '9491000', '')"
 Mazza Veste,"('AVENIDA VISCONDE DE IBITURUNA', '4781400', '4783102')"
 Restaurante Terranova,"('RUA MARCELINO FERREIRA', '5611201', '')"
 Ana D Cinqui,"('RUA CURIMATA', '7711000', '')"
 Fisk Buritis,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Igreja Evangelho Quadrangular - Minas Caixa,"('RUA TENENTE RAIMUNDO FERREIRA', '9491000', '')"
 Maranhense Centro Automotivo,"('RUA FURQUIM WERNECK', '4520001', '')"
 Casa de Carnes São Francisco,"('RUA ITUVERAVA', '4712100', '4723700')"
 Provet Veterinária Ipiranga,"('RUA JACUI', '4773300', '9609208')"
 Lavanderia Classe A,"('RUA SAO JOAQUIM', '9601701', '')"
 Mercearia Dú Moreira,"('RUA MARIA JOSE ALCHAAR', '4712100', '')"
 Transcab Locadora Ltda,"('RUA BOAVENTURA', '0782', '4713001')"
 Lado Z,"('AVENIDA DOM PEDRO I', '4781400', '1412601')"
 Eletrônica Buritis ltda,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Sacolão Italo,"('RUA JOVINO RODRIGUES PEGO', '4724500', '4712100')"
