 Metalforma,"('AVENIDA BARAO HOMEM DE MELO', '3101200', '4754701')"
 Quero Mais Hotburguer,"('RUA MARIA GERTRUDES SANTOS', '4712100', '')"
 Cespro C de Ens Supletivo Promove,"('RUA PARAIBA', '8512100', '8513900')"
 Grupo Bhering,"('RUA OURO PRETO', '6911701', '')"
 Centro de Estética,"('RUA JULIO DE CASTILHO', '9602501', '4772500')"
 Genuína,"('RUA MAJOR LOPES', '1411801', '4781400')"
 Panificadora da Serra,"('RUA MONTE ALEGRE', '1091102', '1521100')"
 Restaurante Agridoce,"('AVENIDA RAJA GABAGLIA', '5611201', '')"
 Lord Pub,"('RUA VICOSA', '5611202', '')"
 Pizzaria e Churrascaria Avenida,"('RUA ESTRELA', '4712100', '')"
 Loja Merci,"('RUA DOS INCONFIDENTES', '4781400', '7723300')"
 A mais Fit Inteligência em Academia,"('RUA ENGENHEIRO ALBERTO PONTES', '9313100', '')"
 Elmo,"('RUA PADRE PEDRO PINTO', '4782201', '4781400')"
 Fianna Mecânica,"('RUA PRESIDENTE COSTA E SILVA', '4520001', '4520007')"
 Morus Imóveis,"('RUA PARAIBA', '8111700', '6821801')"
 Farmácia Belle Eterne,"('RUA RIO GRANDE DO NORTE', '4771701', '4712100')"
 Habib´s,"('RUA ALDEMIRO FERNANDES TORRES', '3101200', '4713001')"
 Citroën Chamonix,"('AVENIDA BARAO HOMEM DE MELO', '4511102', '4542102')"
 Ney Paolinelli de Castro Advogados,"('AVENIDA OLEGARIO MACIEL', '4713001', '')"
 D3 Veículos,"('AVENIDA VILARINHO', '4511102', '6619399')"
 Panificadora Mais,"('RUA PEDRA DO INDAIA', '4712100', '4723700')"
 Graff's Papelaria & Presentes,"('AVENIDA SILVA LOBO', '4781400', '')"
 Igreja Metodista Isabela Hendrix,"('RUA DA BAHIA', '9491000', '5223100')"
 Gestão de Recursos Humanos,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Port Distribuidora de Informática e Papelaria,"('AVENIDA GETULIO VARGAS', '9521500', '4753900')"
 Studio do Corpo,"('AVENIDA DO CONTORNO', '9313100', '7739002')"
 Cunha Peixoto Advogados e Associados,"('RUA OURO FINO', '6911701', '')"
 Shopping Popular do Betânia,"('RUA URSULA PAULINO', '6822600', '6821801')"
 Oficina Santo Antônio,"('RUA PRESIDENTE COSTA E SILVA', '4520001', '4520007')"
 Plano Empresarial Contabilidade e Tributos,"('RUA RIO NEGRO', '6920601', '')"
 Salão Duboy,"('RUA MARIA GERTRUDES SANTOS', '9602501', '9602502')"
 GPK Embreagens,"('RUA LAGOA DA PRATA', '4520001', '4530703')"
 Construtora Terraço,"('RUA SERGIPE', '5223100', '')"
 Zaks Confecções,"('RUA TREM DE FERRO', '4781400', '4755503')"
 Taco Show,"('RUA PROFESSORA BARTIRA MOURAO', '5611201', '4789001')"
 Pousada 45 Hostel,"('RUA DOUTOR SETTE CAMARA', '8230001', '5590699')"
 Magic Cook,"('RUA MONTES CLAROS', '5611201', '1096100')"
 Otto Henrique Torres Chaves,"('AVENIDA DO CONTORNO', '8630503', '')"
 San Belo Restaurante e Lanchonete,"('PRACA DA LIBERDADE', '5611201', '5611202')"
 La Tosqueria Bar,"('AVENIDA GETULIO VARGAS', '5611202', '')"
 Ellus,"('AVENIDA DO CONTORNO', '4781400', '9602502')"
 Selma Prado,"('RUA SANTA CATARINA', '4782201', '4781400')"
 Sonho e Fantasia Ltda,"('AVENIDA GETULIO VARGAS', '4781400', '')"
 Fortal Construções,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Confecção M & S Marsan Ltda,"('RUA PADRE PEDRO PINTO', '4782201', '4781400')"
 Toninho Vilas Boas Cabeleireiros,"('AVENIDA DOS BANDEIRANTES', '9602501', '4772500')"
 Danilo Cabeleireiros,"('RUA IRAI', '9602501', '9602502')"
 Salão Atelier,"('RUA DO MERCADO', '9602501', '9602502')"
 Polansky Comércio de Roupas Ltda,"('RUA DOZE', '9602501', '4781400')"
 Batalhão de Polícia de Eventos,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Condomínio do Edifício Verlaine,"('RUA RIO DE JANEIRO', '4713001', '')"
 Celso Horta e Silva Jóias Ltda,"('RUA CURITIBA', '4789001', '4783101')"
 Escapamento Assunção,"('AVENIDA BARAO HOMEM DE MELO', '4520001', '4520004')"
 Salão do Eliel,"('RUA NEBAGIL DE CARVALHO', '9602502', '9602501')"
 Porto,"('AVENIDA PRUDENTE DE MORAIS', '6920601', '')"
 Raposo Tavares Corretores de Seguros,"('AVENIDA NOSSA SENHORA DO CARMO', '6512000', '')"
 EXXCLUSIVA,"('RUA SANTA CATARINA', '4782201', '4781400')"
 Sorbian Viagens e Turismo Ltda,"('RUA LEVINDO LOPES', '7020400', '7911200')"
 Morais e Morais Festas e Eventos Ltda-ME - BH Locações,"('AVENIDA DOM JOAO VI', '4712100', '')"
 Dr. Gustavo Temponi (SmileCare),"('RUA ALAGOAS', '8630503', '')"
 Klassica Automotiva,"('RUA LAGOA DA PRATA', '4520001', '4530703')"
" Luiz Henrique Amaral - consultoria em imóveis - Não é a ""Luiz Henrique Imóveis""","('AVENIDA AFONSO PENA', '6821801', '6821802')"
 Dr Carlos Inácio Almeida,"('RUA PROFESSOR MORAES', '7722500', '4713001')"
 Mixido Bar e Restaurante,"('AVENIDA DO CONTORNO', '5611201', '')"
 Paróquia Sagrado Coração de Jesus,"('RUA CONSELHEIRO JOAQUIM CAETANO', '9491000', '')"
 Entrevista,"('RUA ARASSUAI', '1412602', '4781400')"
 Restaurante Badejo,"('RUA RIO GRANDE DO NORTE', '5611201', '5611202')"
 Eneida Milagres Silva Araújo,"('RUA RODRIGUES CALDAS', '8630503', '')"
 Escola Visconde de Sabugosa,"('RUA MONTES CLAROS', '8512100', '8513900')"
 Chocolare Chocolates e Doces,"('AVENIDA DOM JOAO VI', '4712100', '')"
 Salão Pedrinho,"('RUA MAJOR LOPES', '9602501', '')"
 Casa Forte,"('AVENIDA VILARINHO', '2391503', '4744099')"
 WR Motores Universo Ltda,"('AVENIDA WALDYR SOEIRO EMRICH', '4520001', '4530704')"
 Eletricista BH e Drywall,"('RUA MARIA LUCIA PETIT', '4321500', '9001906')"
 AGS Veículos,"('AVENIDA BARAO HOMEM DE MELO', '4511102', '4542102')"
 CVC Loja Gutierrez,"('RUA GENERAL ANDRADE NEVES', '7319003', '7911200')"
 Ana P Cordeiro,"('RUA ONZE', '9602501', '')"
 Myway Viagens e Turismo,"('RUA DA BAHIA', '4713001', '7490104')"
 Topa Tudo PPP,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Planeta Imóveis,"('AVENIDA GETULIO VARGAS', '6821801', '')"
 Escola Gaivotas,"('RUA MATIPO', '8512100', '8513900')"
 Pizzaria Vinicius,"('RUA PIUM I', '5611201', '5611203')"
 Reumatologia,"('AVENIDA DO CONTORNO', '8610101', '')"
 Intacto Multimídia Com e Loc de Equi,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Idea Sposa Imp e Com de Roupas e Acessórios Ltda,"('RUA FERNANDES TOURINHO', '4781400', '')"
 Marcos Cesar Garzon,"('RUA PADRE PEDRO PINTO', '5611201', '5611202')"
 Dra Mônica Itabayana Braga da Fonseca,"('RUA ANTONIO DE ALBUQUERQUE', '8630503', '7020400')"
 Somicro Automação Comercial,"('AVENIDA SILVA LOBO', '4713001', '6619302')"
 Pé Ante Pé Calçados e Acessórios Infantis,"('RUA FERNANDES TOURINHO', '9609206', '4782201')"
 Audiológika Consultoria e Assessoria em Saúde Ocupacional,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 José J M Ferreira,"('AVENIDA DO CONTORNO', '8630503', '')"
 Feliz,"('RUA PIUM I', '5611201', '5611203')"
 Fata Morgana,"('RUA SERGIPE', '4785799', '4781400')"
 Prático,"('RUA NICIAS CONTINENTINO', '9602501', '')"
 Mecânica Avenida,"('AVENIDA MENELICK DE CARVALHO', '4530703', '4520001')"
 Bicho Feliz,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Bar e Restaurante Grao do Gole,"('RUA DORA', '5611201', '5620104')"
 Mappa Turismo,"('RUA SERGIPE', '7911200', '7912100')"
 Templo Engenharia e Avaliacoes,"('RUA RIO GRANDE DO NORTE', '9491000', '')"
 Horizonte SEBRAE - Casa da economia criativa,"('RUA DA BAHIA', '4713001', '7490104')"
 Joe`s Pasta e Pub,"('RUA PERNAMBUCO', '5611201', '5620104')"
 Hellf Dance Choi,"('RUA DEMIZA', '4782201', '')"
 Auto Escola Prudente,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Salute Trabalho do Corpo,"('RUA CARANGOLA', '9313100', '')"
 Betina,"('AVENIDA PRUDENTE DE MORAIS', '4781400', '4782201')"
 Segmento Digital Comércio,"('AVENIDA SILVA LOBO', '4713001', '6619302')"
 PINTORES E REFORMAS PREDIAIS RENOVO (31) *3357 19 61 - 3473 20 00,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Vitor Presentes Beco,"('AVENIDA AFONSO VAZ DE MELO', '4713001', '4711302')"
 Modas Luana Ltda,"('RUA TIES', '4781400', '4789001')"
 Calçados Três Irmãos,"('RUA MARIA DA PAZ MAIA', '4789001', '4782201')"
 Fronteiras Bar,"('RUA PAULO AFONSO', '5611202', '5611201')"
 Álvares Imóveis,"('RUA OUTONO', '6821801', '6821802')"
 Posto Petrobras - Posto Gás Brás,"('RUA JAVARI', '4731800', '4732600')"
 Paróquia de Santo Antônio,"('AVENIDA DO CONTORNO', '9491000', '')"
 Sukos & Kremes,"('RUA CARANGOLA', '5611201', '')"
 Del Sol Turismo,"('RUA ENGENHEIRO ALBERTO PONTES', '7911200', '8593700')"
 Life Express Consultoria e Corretora de Seguros de Vida,"('AVENIDA NOSSA SENHORA DO CARMO', '6512000', '')"
 VPR Imóveis,"('AVENIDA PROFESSOR MARIO WERNECK', '6821801', '')"
 Casa de Carnes Irmãos Silveira,"('RUA DOS INDUSTRIARIOS', '4712100', '5611202')"
 Comercial Cicle Barão,"('AVENIDA BARAO HOMEM DE MELO', '4530703', '9529102')"
 Frigorífico Zona Sul,"('RUA RAMALHETE', '4712100', '5611201')"
 Curso de Fisica do Rui,"('RUA PARAIBA', '8512100', '8513900')"
 Retífica Venda Nova,"('RUA BARROSO', '4520001', '')"
 Padaria e Confeitaria Café da Manhã,"('RUA PAULO PIEDADE CAMPOS', '5612100', '1091102')"
 Tom Sobre Tom,"('RUA ERIDANO', '4781400', '')"
 Ceef Centro Educacional e Ensino ao Futuro,"('RUA FARMACEUTICO RAUL MACHADO', '5590699', '8512100')"
 Condomínio do Edifício Pablo Neruda,"('RUA RIO DE JANEIRO', '4713001', '')"
 STUDIO TREINE,"('RUA CLAUDIO MANOEL', '5510801', '')"
 Lubrificantes Braga,"('RUA PRESIDENTE COSTA E SILVA', '4520001', '4520007')"
 Byword,"('RUA LAVRAS', '1412603', '4781400')"
 Igreja Evangélica Luterana Cordeiro de Deus,"('RUA CLEMENCIA FERREIRA EVANGELISTA', '9491000', '')"
 Farmácia Popular do Brasil,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Rita Confecções Ltda ME,"('RUA GRAO MOGOL', '4781400', '')"
 Voetur Ltda,"('AVENIDA GETULIO VARGAS', '7911200', '7912100')"
 VR,"('AVENIDA DO CONTORNO', '4781400', '9602502')"
 Pirelli,"('AVENIDA OLINTO MEIRELES', '4520001', '')"
 Romualdo e Cardoso,"('RUA GONCALVES DIAS', '6920601', '')"
 Salão Spaço Vip,"('RUA DESEMBARGADOR BARCELOS', '9602501', '')"
 Embaré Indústrias Alimentícias S/A,"('RUA FERNANDES TOURINHO', '4712100', '5611202')"
 Centro Educacional Mimo do Ceu,"('RUA PADRE PEDRO PINTO', '8513900', '8512100')"
 eKeep Consultoria Empresarial,"('AVENIDA RAJA GABAGLIA', '4713001', '4743100')"
 Oriente das Máquinas,"('AVENIDA AFONSO VAZ DE MELO', '4713001', '4711302')"
 Coutec Projetos de Engenharia Ltda,"('AVENIDA AFONSO VAZ DE MELO', '4713001', '4711302')"
 Spassos I M Planejados,"('RUA DOS INDUSTRIARIOS', '3101200', '')"
 IMPERMEABILIZAÇÃO DE FACHADAS RENOVO PINTURAS (31) 3357 19 61,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Artha Intercâmbio,"('RUA FERNANDES TOURINHO', '7911200', '')"
 Sara Nossa Terra Comunidade Evangélica,"('RUA INDEPENDENCIA', '9491000', '')"
 Allora Centro Médico de Laser,"('RUA DA BAHIA', '4713001', '7490104')"
 Maria Luiza Pires de Freitas,"('AVENIDA AFONSO PENA', '8630503', '7112000')"
 Ateliê Fina Estampa,"('RUA DOMINGOS GROSSO', '1412602', '4781400')"
 Guaraçaí,"('AVENIDA SILVA LOBO', '4712100', '5612100')"
 Um Dó Lá Si,"('AVENIDA GETULIO VARGAS', '4781400', '')"
 Supermercado Pais e Filhos,"('RUA CONDE DE PALMA', '4712100', '')"
 Hermes V Guerrero Advogados,"('AVENIDA GETULIO VARGAS', '6911701', '')"
 Egnalos,"('RUA OSCAR NEGRAO DE LIMA', '9603304', '')"
 Piu Braziliano,"('AVENIDA PROFESSOR MARIO WERNECK', '5611201', '')"
 Anuar Donato Consultoria Imobiliária,"('RUA MATO VERDE', '4120400', '6821801')"
 Aripuanã Coberio Terena,"('AVENIDA OLEGARIO MACIEL', '4713001', '')"
 Cristiane R Araújo,"('RUA OLINDA', '8630504', '')"
 Rosângela Souza,"('AVENIDA AFONSO PENA', '8630504', '8640205')"
 Marcos Antônio Maia,"('RUA GENTIOS', '9602501', '')"
 Tokyo Novidades Ltda,"('AVENIDA GETULIO VARGAS', '3211602', '4783101')"
 Panificadora Grauna Ltda,"('RUA FAISAO', '1091102', '4712100')"
 Maria Gonçalves de Oliveira Arnoni,"('RUA TOME DE SOUZA', '5611203', '5611201')"
 Academia Clinica do Corpo,"('RUA CERCADINHO', '9313100', '')"
 PEREIRA MENDES ADVOGADOS ASSOCIADOS,"('AVENIDA DO CONTORNO', '6911701', '')"
 Centro Educacional Alicerce para a Vida,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Hidilberto A Martins,"('RUA FERNANDES TOURINHO', '8630504', '')"
 Gontijo e Miranda Comércio de Roupas Femininas,"('RUA GENERAL ANDRADE NEVES', '4781400', '')"
 Chagdud Gonpa Dawa Drolma,"('AVENIDA VILARINHO', '9491000', '')"
 Exclusive Pettersen,"('RUA PEDRA DA VARZEA', '4781400', '4782201')"
 BH Chopp Ltda,"('RUA ORIENTE', '5611202', '')"
 Unidade Municipal de Educação Infantil Silva Lobo,"('AVENIDA SILVA LOBO', '4713001', '6619302')"
 pizzaria barril,"('RUA LAGOA DA PRATA', '4712100', '')"
 Centro Automotivo El Shamah,"('RUA MARIA', '4530703', '4520001')"
 Indústria Mecânica Paulista,"('RUA SACADURA CABRAL', '4520001', '4520004')"
 Kassim Schneider Raslan,"('RUA SERGIPE', '6911701', '')"
 Loja Ângela Barbini,"('RUA JOAQUIM NABUCO', '4781400', '')"
 Casa Bernardi,"('RUA CONDE DE LINHARES', '9602502', '9602501')"
 Posto Betânia,"('RUA URSULA PAULINO', '4731800', '4732600')"
 Banco do Brasil S/A-Ag Praça da Liberdade BH,"('RUA SERGIPE', '6421200', '')"
 Clínica Odontológica Hudson Viana,"('RUA MARANHAO', '6550200', '8630504')"
 Canela Amarela,"('RUA OSCAR TROMPOWSKY', '5611201', '')"
 Igreja Evangélica Caminho na Luz,"('RUA ICO', '9491000', '')"
 Receita Federal Do Brasil,"('AVENIDA OLEGARIO MACIEL', '4713001', '')"
 Edifício Gumercina Rosa Salmem Rodrigues,"('RUA PADRE PEDRO PINTO', '6822600', '')"
 Eloah Modas,"('RUA PADRE PEDRO PINTO', '4782201', '4781400')"
 Cia do Peixe,"('RUA SALVIA', '4712100', '4724500')"
 BH Oftalmo,"('RUA PROFESSOR MORAES', '7722500', '4713001')"
 VBA Serralharia,"('RUA MONTES CLAROS', '9529102', '4520007')"
 O Boiadeiro Pizzaria,"('RUA TIPUANA', '4712100', '4724500')"
 Mazzarello Eventos,"('RUA DAS MANGUEIRAS', '5611202', '4712100')"
